userID,ISBN,bookRating
276744,038550120X,7
276747,0060517794,9
276747,0671537458,9
276747,0679776818,8
276754,0684867621,8
276755,0451166892,5
276786,8437606322,8
276788,055310666X,10
276796,0330332775,5
276822,0142302198,10
276822,0689804458,8
276822,0786812508,9
276822,0786817070,10
276830,0440225825,9
276850,0449217264,7
276872,0425167097,8
276872,042518109X,8
276896,0440241537,10
276905,0060542845,8
276925,0385504209,8
276928,059030271X,5
276953,0886776783,7
276964,0345435036,10
276964,0440218667,5
276964,0440220602,9
276964,0684867621,8
276986,0874869870,10
276988,0061087017,7
276988,0061094404,8
276998,0618045996,8
277028,0425182150,10
277051,0385720920,10
277072,1573229571,9
277085,0434009407,8
277107,0375706038,10
277107,081297106X,10
277107,1400032628,8
277109,0425191184,5
277124,0425189864,9
277124,0440236053,9
277135,0865472807,8
277139,0312960344,8
277143,031286504X,10
277143,0767903382,8
277157,0345450175,6
277157,0345452550,7
277157,0375727981,5
277157,0394543289,5
277157,0399141340,8
277157,0399146687,7
277157,0399147101,7
277157,0399148337,6
277157,0399148639,6
277157,0425183181,5
277157,0679450408,6
277171,0385422598,9
277171,0451173139,7
277171,080410946X,8
277188,0525945636,4
277195,0060391626,10
277195,0330332775,10
277195,0440174953,9
277195,0670869902,10
277195,0671021001,10
277195,1573221856,10
277197,0316969680,8
277203,0307127923,8
277203,039480001X,9
277203,0590402218,9
277203,0590629719,10
277203,0689845405,7
277203,0717283275,8
277203,0717283372,8
277203,0717284832,8
277203,1561452718,9
277203,1562826468,9
277212,044023722X,8
277220,0671015648,7
277235,014029628X,6
277242,0812514440,5
277243,0449005909,8
277244,055347782X,8
277244,1585671312,8
277246,0452282152,10
277271,0618134298,8
277314,0446360716,6
277353,0739417096,8
277363,0060393823,1
277363,0156027321,8
277367,0312276885,10
277378,0446608955,4
277378,0670892963,7
277378,0671646575,6
277378,0804114986,5
277397,0399140751,8
277402,051511605X,6
277427,0060542128,7
277427,0141439742,8
277427,0201000822,10
277427,0316776963,8
277427,0345413903,10
277427,0375408886,9
277427,0380791978,9
277427,0385424736,9
277427,0385486804,9
277427,0385504209,8
277427,039304016X,8
277427,0394738136,7
277427,0440236061,8
277427,0446350982,9
277427,0446600415,10
277427,0446608890,10
277427,0553571656,10
277427,0553573926,10
277427,0671037692,8
277427,0671727079,9
277427,0679731148,9
277427,0740723367,9
277427,0743406176,8
277427,0743412028,9
277427,0743422082,9
277427,0743444477,9
277427,0743457943,8
277427,0767903382,10
277427,0786866845,10
277427,0811811409,10
277427,0836218817,10
277427,087605534X,8
277427,0898157803,10
277427,0898794080,7
277427,1565075722,10
277439,0345452550,5
277439,0553579134,7
277444,0849908647,9
277466,0440226414,7
277466,0553292722,8
277469,0553572997,9
277478,006008216X,6
277478,0304359416,7
277478,0671020560,7
277478,0882668099,7
277478,1558745718,8
277486,0812520165,8
277517,0452282152,8
277519,0895261901,10
277523,0316603570,10
277523,0316693200,10
277523,0345452577,10
277523,0345452593,10
277523,0385336357,10
277523,0385508042,10
277523,0385510438,10
277523,039915180X,10
277523,0440241537,10
277523,0446613843,10
277523,0671886665,10
277523,0743206045,10
277523,0785275967,7
277527,0316777722,10
277527,0679439382,7
277529,0064400557,8
277533,0452268060,7
277554,0345392825,9
277554,0452268060,5
277563,044667883X,5
277568,0553583956,5
277575,0446301582,9
277586,0312202318,2
277589,0425125467,8
277589,0553263226,9
277598,0375707972,8
277601,0312421273,3
277601,0679771476,7
